No.,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Fasum Rusak
1,3202,2021-04-12,PUTING BELIUNG,Kec. Cicurug Ds. Tenjoayu,SUKABUMI,JAWA BARAT,,• Akibat hujan dengan intensitas tinggi disertai angin kencang,0,0,0,6,0
2,3201,2021-04-11,PUTING BELIUNG,Kec. Pamijahan Ds. Ciasihan,BOGOR,JAWA BARAT,,• Akibat hujan dengan intensitas tinggi disertai angin kencang,0,0,0,2,0
3,3201,2021-04-11,PUTING BELIUNG,Kec. Tamansari Ds. Sukajaya,BOGOR,JAWA BARAT,,• Akibat hujan dengan intensitas yang sedang disertai angin kencang,0,0,0,0,1
4,3211,2021-04-11,TANAH LONGSOR,Kec. Wado Ds. Cimungkal,SUMEDANG,JAWA BARAT,,• Telah terjadi tanah longsor yang mengakibatkan akses jalan penghubung Ds. Cimungkal dan Ds. Kirisik tertutup,0,0,0,0,0
5,3201,2021-04-11,PUTING BELIUNG,Kec. Ciomas Ds. Mekar Jaya,BOGOR,JAWA BARAT,,• Akibat hujan dengan intensitas yang sedang disertai angin kencang,0,0,0,2,0
6,3201,2021-04-11,PUTING BELIUNG,Kec. Megamendung Ds. Kuta,BOGOR,JAWA BARAT,,• Akibat hujan dengan intensitas yang sedang disertai angin kencang,0,0,0,1,0
7,3502,2021-04-11,BANJIR,Kec. Sampung Ds. Ringinputih,PONOROGO,JAWA TIMUR,,•Akibat meningkatnya debit air pada Sungai Jombok dan tersumbatnya aliran sungai sehingga air meluap ke rumah warga.,0,0,0,0,0
8,3201,2021-04-11,TANAH LONGSOR,Kec. Cisarua Ds. Citeko,BOGOR,JAWA BARAT,,• Akibat hujan deras sehingga mengakibatkan TPT (tembok penahan tanah) Vila Nova longsor menimpah beberapa rumah warga,0,0,2,4,0
9,3521,2021-04-11,BANJIR,Kec. Pangkur Ds. Waru Tengah Ds. Pleset Kec. Kwadungan Ds. Purwosari Ds. Simo,NGAWI,JAWA TIMUR,,•Akibat hujan dengan intensitas tinggi di wilayah hulu dan derasnya aliran Bengawan Madiun.,0,0,0,0,0
10,3201,2021-04-11,PUTING BELIUNG,Kec. Cisarua Ds. Jogjogan Ds. Kopo,BOGOR,JAWA BARAT,,"• Akibat hujan dengan intensitas yang sedang disertai angin kencang, sehingga mengakibatkan 1 pohon tumbang dan beberapa rumah terdampak",0,0,0,6,0
11,1805,2021-04-11,PUTING BELIUNG,Kec. Bumi Nabung Ds. Bumi Nabung Ilir,LAMPUNG TENGAH,LAMPUNG,,• Akibat hujan dengan intensitas tinggi disertai angin kencang,0,0,0,328,0
12,3204,2021-04-11,TANAH LONGSOR,Kec. Ibun Ds. Naglasari,BANDUNG,JAWA BARAT,,• Akibat tanah yang labil dan terisi air pesawahan,1,0,0,0,0
13,3201,2021-04-11,TANAH LONGSOR,Kec. Megamendung Ds. Sukagalih,BOGOR,JAWA BARAT,,• Akibat hujan deras yang  mengakibatkan tembok penahan tanah (TPT) jebol/longsor dan menimpa 2 unit rumah,0,0,0,2,0
14,3204,2021-04-11,PUTING BELIUNG,Kec. Rancaekek Ds. Cangkuang,BANDUNG,JAWA BARAT,,"•Akibat hujan dengan intensitas yang tinggi disertai angin kencang, dan mengakibatkan pohon tumbang dan menimpa rumah warga",0,0,1,1,0
15,3520,2021-04-10,TANAH LONGSOR,Kec. Parang Ds. Trosono,MAGETAN,JAWA TIMUR,,• Akibat hujan dengan intensitas tinggi disertai kondisi tanah yang labil,0,0,0,2,0
16,3513,2021-04-10,PUTING BELIUNG,Kec. Banyuanyar Ds. Blado Wetan,PROBOLINGGO,JAWA TIMUR,,•Akibat hujan dengan intensitas tinggi disertai angin kencang,0,0,0,3,0
17,3501,2021-04-10,GEMPA BUMI,106 KM BaratDaya Kab. Malang,PACITAN,JAWA TIMUR,,,0,0,0,1,0
18,3579,2021-04-10,GEMPA BUMI,104 KM BaratDaya Kab. Malang,KOTA BATU,JAWA TIMUR,,,0,0,0,2,7
19,3504,2021-04-10,GEMPA BUMI,98 KM BaratDaya Kab. Malang,TULUNGAGUNG,JAWA TIMUR,,,0,0,2,75,11
20,3511,2021-04-10,GEMPA BUMI,106 KM BaratDaya Kab. Malang,BONDOWOSO,JAWA TIMUR,,,0,0,0,2,0
21,3509,2021-04-10,GEMPA BUMI,100 KM BaratDaya Kab. Malang,JEMBER,JAWA TIMUR,,,0,0,2,44,4
22,3506,2021-04-10,GEMPA BUMI,95 KM BaratDaya Kab. Malang,KEDIRI,JAWA TIMUR,,,0,0,0,1,0
23,3301,2021-04-10,PUTING BELIUNG,Kec. Majenang Ds. Pahonjean Kec. Wanareja Ds. Madusari Ds. Bantar Kec. Cipari Ds. Caruy Kec. Cimanggu Ds. Rejodadi,CILACAP,JAWA TENGAH,,,0,0,0,5,1
24,1803,2021-04-10,PUTING BELIUNG,Kec. Candipuro,LAMPUNG SELATAN,LAMPUNG,,• Akibat hujan dengan intensitas tinggi disertai angin kencang,0,0,0,0,0
25,3508,2021-04-10,GEMPA BUMI,94 KM BaratDaya Kab. Malang,LUMAJANG,JAWA TIMUR,,,6,0,15,1423,20
26,3514,2021-04-10,GEMPA BUMI,101 KM BaratDaya Kab. Malang,PASURUAN,JAWA TIMUR,,,0,0,0,35,6
27,3505,2021-04-10,GEMPA BUMI,92 KM BaratDaya Kab. Malang,BLITAR,JAWA TIMUR,,,0,0,11,625,45
28,3571,2021-04-10,GEMPA BUMI,96 KM BaratDaya Kab. Malang,KOTA KEDIRI,JAWA TIMUR,,,0,0,0,1,1
29,3507,2021-04-10,GEMPA BUMI,90 KM BaratDaya Kab. Malang,MALANG,JAWA TIMUR,,,3,0,57,2364,241
30,3572,2021-04-10,GEMPA BUMI,93 KM BaratDaya Kab. Malang,KOTA BLITAR,JAWA TIMUR,,,0,0,2,36,13
31,1602,2021-04-10,PUTING BELIUNG,Kec. Pampangan Ds. Pampangan Ds. Pulau Betung Kec. Tulung Selapan Ds. Cambai Kec. Cengal Ds. Sungai Lumut,OGAN KOMERING ILIR,SUMATERA SELATAN,,• Akibat hujan dengan intensitas tinggi disertai angin kencang,0,0,0,4,0
32,3573,2021-04-10,GEMPA BUMI,91 KM BaratDaya Kab. Malang,KOTA MALANG,JAWA TIMUR,,,0,0,0,4,0
33,3518,2021-04-10,GEMPA BUMI,105 KM BaratDaya Kab. Malang,NGANJUK,JAWA TIMUR,,,0,0,0,1,0
34,3513,2021-04-10,GEMPA BUMI,102 KM BaratDaya Kab. Malang,PROBOLINGGO,JAWA TIMUR,,,0,0,0,10,2
35,3503,2021-04-10,GEMPA BUMI,97 KM BaratDaya Kab. Malang,TRENGGALEK,JAWA TIMUR,,,0,0,0,58,10
36,3301,2021-04-10,PUTING BELIUNG,Kec Wanareja Ds. Madusari Ds. Adimulya,CILACAP,JAWA TENGAH,,•Akibat hujan dengan intensitas tinggi disertai angin kencang,0,0,0,4,0
37,6404,2021-04-10,PUTING BELIUNG,Kec. Muara Ancalong Ds. Gemar Baru,KUTAI TIMUR,KALIMANTAN TIMUR,,• Akibat hujan disertai angin kencang,0,0,0,7,0
38,3201,2021-04-10,PUTING BELIUNG,Kec. Leuwiliang Ds. Cibeber,BOGOR,JAWA BARAT,,• Akibat hujan dengan intensitas yang sedang disertai angin kencang,0,0,0,6,0
39,3302,2021-04-10,BANJIR,Kec. Purwokerto Selatan Kel. Karangpucung,BANYUMAS,JAWA TENGAH,,•Hujan lebat disertai angin lebih dari 3 jam mengakibatkan sungai Kalibener meluap dan menerjang tanggul/dinding pembatas kelililing perumahan jebol,0,0,0,0,0
40,3502,2021-04-10,GEMPA BUMI,103 KM BaratDaya Kab. Malang,PONOROGO,JAWA TIMUR,,,0,0,0,2,0
41,3510,2021-04-10,GEMPA BUMI,99 KM BaratDaya Kab. Malang,BANYUWANGI,JAWA TIMUR,,,0,0,0,0,0
42,3201,2021-04-10,PUTING BELIUNG,Kec. Leuwisadeng Ds. Sadeng,BOGOR,JAWA BARAT,,• Akibat hujan dengan intensitas tinggi disertai angin kencang,0,0,0,1,0
43,3573,2021-04-09,PUTING BELIUNG,Kec. Singosari Ds. Tunjung Tirto Ds. Purwoasri,KOTA MALANG,JAWA TIMUR,,• Hujan deras disertai angin kencang dengan durasi yang cukup lama,0,0,0,12,0
44,1809,2021-04-09,PUTING BELIUNG,Kec. Tegineneng Ds. Sinar Jati Ds. Margorejo Kec. Negeri Katon Ds. Bangun Sari Ds. Tri Rahayu,PESAWARAN,LAMPUNG,,• Akibat hujan dengan intensitas tinggi disertai angin kencang,0,0,0,96,0
45,3301,2021-04-09,PUTING BELIUNG,Kec. Dayeuhluhur Ds. Dayeuhluhur,CILACAP,JAWA TENGAH,,,0,0,0,17,0
46,1803,2021-04-09,PUTING BELIUNG,Kec. Sragi Ds. Bandar Agung Ds. Kualajaya,LAMPUNG SELATAN,LAMPUNG,,• Akibat hujan dengan intensitas tinggi disertai angin kencang,0,0,0,2,0
47,3201,2021-04-09,PUTING BELIUNG,Kec. Dramaga Ds. Sukadamai,BOGOR,JAWA BARAT,,"• Akibat hujan dengan intensitas yang tinggi disertai angin kencang dan cukup lama, sehingga mengakibatkan Beberapa unit rumah di lokasi tersebut mengalami kerusakan pada bagian atap",0,0,0,30,0
48,3514,2021-04-09,PUTING BELIUNG,Kec. Bangil Ds. Kalirejo Ds. Manuri Kec. Rejoso Ds. Rejoso Kec. Pasrepan Ds. Pohgading,PASURUAN,JAWA TIMUR,,• Hujan deras disertai angin kencang dengan durasi yang cukup lama,0,0,0,100,0
49,1809,2021-04-08,PUTING BELIUNG,Kec. Tegineneng Ds. Sinar Jati Ds. Trimulyo Ds. Margorejo,PESAWARAN,LAMPUNG,,• Akibat hujan dengan intensitas tinggi disertai angin kencang,0,0,0,0,0
50,6201,2021-04-08,GELOMBANG PASANG / ABRASI,Kab. Kotawaringin Barat Kec. Kumai Ds. Keraya,KOTAWARINGIN BARAT,KALIMANTAN TENGAH,,• Akibat hujan dengan intensitas tinggi dan tingginya gelombang pasang laut,0,0,0,8,0
51,1804,2021-04-08,PUTING BELIUNG,Kec. Sekampung Ds. Sukoharjo,LAMPUNG TIMUR,LAMPUNG,,• Akibat hujan dengan intensitas tinggi disertai angin kencang,0,0,0,36,0
52,1504,2021-04-08,PUTING BELIUNG,Kec.  Muara tembesi Kel.  Kampung Baru,BATANGHARI,JAMBI,,• Hujan dengan intensitas tinggi disetai angin kencang,0,0,0,1,0
53,1803,2021-04-08,PUTING BELIUNG,Kec. Natar Ds. Tanjungsari,LAMPUNG SELATAN,LAMPUNG,,• Akibat hujan dengan intensitas tinggi disertai angin kencang,0,0,0,15,0
54,1306,2021-04-07,PUTING BELIUNG,Kec. Sungai Garinggiang Korong Sungai Sirah Kuranji Hulu,PADANG PARIAMAN,SUMATERA BARAT,,• Angin kencang yang melanda wilayah Kec. Sungai Garinggiang yang menyebabkan pohon tumbang dan menimpa rumah,0,0,0,1,0
55,3320,2021-04-07,PUTING BELIUNG,Kec. Nalumsari Ds. Tritis,JEPARA,JAWA TENGAH,,• Hujan disertai angin kencang,0,0,0,1,0
56,1172,2021-04-07,BANJIR,Kec.  Sukajaya Ds. Keunekai Ds. Jaboi,KOTA SABANG,ACEH,,• Hujan dengan intensitas tinggi,0,0,0,0,0
57,3312,2021-04-06,BANJIR,Kec. Paranggupito Ds. Gunturharjo Ds. Paranggupito,WONOGIRI,JAWA TENGAH,,hujan dengan intensitas tinggi,0,0,0,0,0
58,8104,2021-04-06,PUTING BELIUNG,Kec.  Lilialy Ds.  Sawa,BURU,MALUKU,,• Hujan dengan intensitas tinggi disertai angin kencang,0,0,0,0,0
59,3512,2021-04-06,PUTING BELIUNG,Kec. Jangkar Ds. Gadingan,SITUBONDO,JAWA TIMUR,,hujan disertai angin kencang,0,0,0,1,0
60,3271,2021-04-06,PUTING BELIUNG,Kec. Bogor Tengah Kel. Babakan,KOTA BOGOR,JAWA BARAT,,hujan disertai angin kencang,0,0,0,0,1
61,3303,2021-04-06,PUTING BELIUNG,Kec. Kutasari Ds. Munjul,PURBALINGGA,JAWA TENGAH,,•Hujan lebat disertai angin kencang,0,0,0,36,0
62,7606,2021-04-06,PUTING BELIUNG,Kec. Topoyo Ds. Tabolang,MAMUJU TENGAH,SULAWESI BARAT,,hujan disertai angin kencang,0,0,0,2,0
