,district_ID,date,disaster_type,location,district_name,province,dead,missing,injured,house_damage,public_facility_damage
515,6409,2021-02-26,cyclone,Kec. Panajam Ds. Petung,PENAJAM PASER UTARA,north_kalimantan,0.0,0.0,0.0,12,0
516,3326,2021-02-26,cyclone,Kec. Seragi Ds. Kalijambe,PEKALONGAN,central_java,0.0,0.0,0.0,31,0
517,3201,2021-02-26,cyclone,Kec.  Megamendung Ds.   Sukakarya,BOGOR,west_java,0.0,0.0,0.0,3,0
518,1107,2021-02-26,forest and land fire,Kec.  Arongan Gp. Gunong Pulo Kec. Meureubo Gp. Peunaga Cut Ujong,ACEH BARAT,aceh,0.0,0.0,0.0,0,0
519,3201,2021-02-26,flood,Kec. Ciawi Ds. Cibedug,BOGOR,west_java,0.0,0.0,0.0,0,0
520,1306,2021-02-26,cyclone,Kec. Sintuak Teboh Gadang Nagari Toboh Gadang,PADANG PARIAMAN,west_sumatera,0.0,0.0,0.0,1,0
521,3321,2021-02-26,cyclone,Kec. Sayung Ds.Gemulak Ds. Bedono Ds. Sidogemah Kec. Dempet Ds. Brakas Kec. Karangtengah Ds. Batu Ds. Wonokerto,DEMAK,central_java,0.0,0.0,2.0,304,13
522,3324,2021-02-26,cyclone,Kec. Pagareuyung Ds. Puncakwangi Dsn. Kemlokolegi Dsn. Dawuhan,KENDAL,central_java,0.0,0.0,0.0,66,0
523,6112,2021-02-25,forest and land fire,Kec. Sungai Kakap Ds. Punggur,KUBU RAYA,west_kalimantan,0.0,0.0,0.0,0,0
524,1705,2021-02-25,cyclone,Kec. Sukaraja Ds. Sido Luhur,SELUMA,bengkulu,0.0,0.0,0.0,1,0
525,1308,2021-02-25,forest and land fire,Kec. Harau Desa Harau,LIMA PULUH KOTA,west_sumatera,0.0,0.0,0.0,0,0
526,6106,2021-02-25,forest and land fire,Kec. Muara Pawan Ds. Sungai Awan Kanan,KETAPANG,west_kalimantan,0.0,0.0,0.0,0,0
527,3201,2021-02-25,cyclone,Kec. Babakan Madang Ds. Karang Tengah Kp. Wangun,BOGOR,west_java,0.0,0.0,0.0,1,0
528,1610,2021-02-25,forest and land fire,Kec. Pemulutan Ds. Ibul Besar II,OGAN ILIR,south_sumatera,0.0,0.0,4.0,11,3
529,3201,2021-02-25,landslide,Kec. Ciampea  Ds. Bojong Rangkas,BOGOR,west_java,0.0,0.0,0.0,1,0
530,6206,2021-02-25,forest and land fire,Kec. Sukamara Ds. Kampung Padang,SUKAMARA,central_kalimantan,0.0,0.0,0.0,0,0
531,3604,2021-02-25,cyclone,Kec. Ciruas Ds. Kadikaran Kamp. Kadikaran,SERANG,banten,0.0,0.0,0.0,2,0
532,7314,2021-02-25,forest and land fire,Kec. Maritengngae Kel. Lakessi Dsn. Cilellang,SIDENRENG RAPPANG,south_sulawesi,0.0,0.0,0.0,3,0
533,3209,2021-02-24,flood,Kec. Waled Ds. Mekarsari Dsn. 1,CIREBON,west_java,0.0,0.0,0.0,0,7
534,3604,2021-02-24,cyclone,Kec. Tanara Ds. Tenjoayu Kamp. Pegadungan RT. 01 / 01,SERANG,banten,0.0,0.0,0.0,17,0
535,7208,2021-02-24,landslide,Kec. Ampibabo Ds. Buranga Ds. Sina’a,PARIGI MOUTONG,central_sulawesi,6.0,1.0,3.0,0,0
536,3201,2021-02-24,landslide,Kec. Tanah Sereal Kel. Cibadak,BOGOR,west_java,0.0,0.0,0.0,0,0
537,3201,2021-02-24,cyclone,Kec. Ciomas Ds. Kota Batu Kp. Cibogel,BOGOR,west_java,0.0,0.0,0.0,1,0
538,3604,2021-02-24,cyclone,Kec. Tanara Ds. Tenjoayu Kp. Pegadungan,SERANG,banten,0.0,0.0,0.0,20,0
539,6201,2021-02-24,forest and land fire,Kec. Kumai Desa Keraya,KOTAWARINGIN BARAT,central_kalimantan,0.0,0.0,0.0,0,0
540,3328,2021-02-24,cyclone,Kec. Bumijawa Ds. Muncanglarang,TEGAL,central_java,0.0,0.0,0.0,1,0
541,3201,2021-02-24,landslide,Kec. Jonggol Ds. Balekambang Kp. Malimping,BOGOR,west_java,0.0,0.0,0.0,0,0
542,1612,2021-02-24,flood,Kec. Talang Ubi Ds. Talang pipa,PENUKAL ABAB LEMATANG ILIR,south_sumatera,0.0,0.0,0.0,0,0
543,1108,2021-02-24,forest and land fire,Kec : Lhoknga Desa/Lokasi : Nusa,ACEH BESAR,aceh,0.0,0.0,0.0,0,0
544,3604,2021-02-24,flood,Kec. Padarincang Ds. Citasuk Kamp. Sukamaju,SERANG,banten,0.0,0.0,0.0,0,0
