No.,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Fasum Rusak
1,1705,2019-12-31,BANJIR,Kec. Seluma Barat Ds. Tanjung Agung Ds. Pagar Agung Ds. Lunjuk Ds. Talang Tinggi Ds. Lubuk Lagan  Kec. Seluma Ds. Talang Dantuk Kec. Lubuk Sandi Ds. Tumbuan,SELUMA,BENGKULU,,• Akibat hujan dengan intensitas tinggi,,,,2,5
2,6305,2019-12-31,BANJIR,Kec. Binuang Kel. Raya Belanti,TAPIN,KALIMANTAN SELATAN,,• Akibat hujan dengan intensitas tinggi,,,,0,1
3,3322,2019-12-31,PUTING BELIUNG,Kec. Pabean Ds. Segiri Dsn. Segiri,SEMARANG,JAWA TENGAH,,• Akibat hujan dengan intensitas tinggi,,,,5,0
4,3604,2019-12-31,PUTING BELIUNG,Kec. Carenang Ds. Mekarsari,SERANG,BANTEN,,• Akibat hujan disertai angin kencang,,,,1,0
5,1801,2019-12-31,BANJIR,Kec. Kebun Tebu Ds. Muara Baru Ds. Purawiwitan Ds. Ciptamulya,LAMPUNG BARAT,LAMPUNG,,• Akibat hujan dengan intensitas tinggi,,,,31,0
6,3217,2019-12-31,BANJIR,Kec. Ngamprah Ds. Cimareme Komplek Perumahan Cimareme Indah,BANDUNG BARAT,JAWA BARAT,,• Akibat hujan dengan intensitas tinggi dan jebolnya tanggul sungai,,,,0,0
7,3516,2019-12-31,BANJIR,Kec. Dawarblambang Ds. Pulorejo Ds. Klanting Ds. Banyulengi Dsn. Balong,MOJOKERTO,JAWA TIMUR,,• Akibat curah hujan yang tinggi pada wilayah Barat Kab. Mojokerto mengakibatkan peningkatan debit air sungai lamong yang melintasi Kec. Dawarblandong. Kab. Mojokerto pada Pkl. 22:15 WIB,,,,0,0
8,3278,2019-12-30,TANAH LONGSOR,Kec. Kawlu Kel. Gunung Tandala,KOTA TASIKMALAYA,JAWA BARAT,,• Akibat dengan intensitas tinggi,,,,1,0
9,3604,2019-12-30,PUTING BELIUNG,Kec. Anyer  Ds. Banjarsari,SERANG,BANTEN,,• Akibat hujan disertai angin kencang,,,,1,0
10,3522,2019-12-30,BANJIR,Kec. Dander Ds. Kunci Kec. Mulak Ulu Ds. Lesung Batu Ds. Pengentaan,BOJONEGORO,JAWA TIMUR,,• Akibat hujan yang turun cukup deras di wilayah Kecamatan Dander Banjir Luapan dari hutan perhutani KRPH Sampang,,,,0,0
11,1604,2019-12-30,BANJIR,Kec. Mulak Sebingkai Ds. Keban Agung Kec. Mulak Ulu Ds. Lesung Batu Ds. Pengentaan,LAHAT,SUMATERA SELATAN,,• Akibat hujan dengan intensitas tinggi,,,,80,4
12,5104,2019-12-30,PUTING BELIUNG,Kec. Tegalalang Ds. Pupuan,GIANYAR,BALI,,• Akibat hujan disertai angin kencang dan pohon yang lapuk batangnya akibat usia serta,,,,1,0
13,3509,2019-12-30,PUTING BELIUNG,Kec. Silo Ds. Sumberjati  Dsn. Kajar,JEMBER,JAWA TIMUR,,• Akibat hujan disertai angin kencang,,,1.0,1,0
14,1208,2019-12-29,BANJIR,"Kec. Buntu Pane Desa Karya Ambalutu,  Desa Ambalutu Desa Prapat Janji.  Kec. Setia Janji Desa Bangun Sari. Kec. Tinggi Raja Desa Terusan Tengah.",ASAHAN,SUMATERA UTARA,,"• Akibat hujan dengan intensitas tinggi meluapnya debit air Sungai  Ambalutu, Sungai Silau, Sungai Silau Tua, Sungai Hianga di Kab. Asahan",,,,0,0
15,3672,2019-12-29,BANJIR,Kec. Pulomerak Kel. Tamansari Kec. Jombang Kel. Jombang Wetan Kel. Sukmajaya Kec. Purwakarta Kel. Purwakarta Kel. Tegal Bunder Kel. Pabean,KOTA CILEGON,BANTEN,,"• Akibat hujan deras, sungai medaksa meluap, kondisi perumahan di tempat rendah dan drainase yang buruk",,,,0,0
16,1223,2019-12-29,BANJIR,"Kec. Na IX-X Ds. Pematang Dsn. Siria ria A, B Ds. Hatapang",LABUHAN BATU UTARA,SUMATERA UTARA,,• Akibat hujan dengan intensitas tinggi,3.0,2.0,,55,7
17,3278,2019-12-29,PUTING BELIUNG,Kec. Indihiang Kel. Sukamajukidul Kamp. Talaga RT. 04 / 08 Kamp. Cibungkul RT. 01 / 13,KOTA TASIKMALAYA,JAWA BARAT,,• Akibat hujan deras disertai angin kencang,,,,1,0
